date,product,quantity,price
2024-03-30,Tea,4,1.94
2025-06-01,Eggs,2,0.25
2024-10-11,Coffee,4,3.44
2024-12-10,Bread,4,1.26
2025-01-22,Yogurt,6,0.51
2024-08-21,Cheese,6,2.63
2024-12-29,Rice,6,1.43
2024-09-07,Tomato,5,1.14
2024-02-27,Banana,5,0.5
2024-11-18,Lettuce,5,0.96
2024-09-26,Tomato,5,1.13
2024-02-18,Toilet Paper,6,0.46
2025-04-24,Yogurt,5,0.51
2024-10-27,Sugar,8,0.95
2024-09-26,Mineral Water,1,0.33
2024-07-22,Sugar,5,1.05
2025-01-06,Apple,7,0.68
2025-05-12,Rice,3,1.23
2025-06-24,Cheese,5,2.85
2024-11-15,Coffee,4,3.74
2024-08-18,Canned Tuna,4,1.54
2024-03-01,Cheese,4,2.52
2025-06-10,Lettuce,2,0.82
2025-02-20,Lettuce,7,0.86
2024-04-10,Tomato,5,1.01
2025-04-04,Milk,4,0.93
2024-02-21,Apple,6,0.69
2025-02-14,Tea,7,2.31
2025-02-03,Milk,1,0.89
2024-08-10,Olive Oil,8,7.05
2025-05-29,Milk,4,0.97
2024-03-10,Sugar,3,0.93
2024-03-24,Chocolate,5,1.93
2024-09-28,Mineral Water,5,0.36
2024-04-12,Canned Tuna,5,1.3
2024-09-07,Cheese,4,2.62
2024-04-16,Chicken,8,4.98
2024-12-17,Apple,5,0.67
2025-03-09,Tomato,5,1.14
2025-03-28,Olive Oil,4,5.91
2024-02-06,Salt,5,0.42
2024-02-10,Chicken,3,5.29
2025-02-20,Chicken,4,4.9
2025-02-26,Coffee,5,3.99
2024-04-20,Bread,7,1.12
2024-08-21,Canned Tuna,6,1.5
2025-06-05,Lettuce,5,0.81
2024-09-24,Canned Tuna,3,1.45
2024-11-17,Banana,4,0.51
2024-07-20,Mineral Water,6,0.36
2024-11-30,Chicken,8,5.13
2024-11-04,Canned Tuna,6,1.46
2024-10-20,Canned Tuna,1,1.41
2025-04-29,Tomato,5,1.08
2024-08-28,Toilet Paper,4,0.42
2025-05-01,Chocolate,3,1.73
2025-01-28,Coffee,4,4.07
2025-06-14,Red Wine,7,5.78
2025-05-31,Beer,10,0.77
2024-10-10,Mineral Water,6,0.37
2024-12-09,Sugar,4,1.0
2025-01-27,Pasta,2,1.19
2024-03-04,Cookies,4,1.4
2025-01-24,Tomato,4,1.17
2024-08-12,Red Wine,9,5.32
2025-02-18,Olive Oil,2,6.42
2025-02-07,Toilet Paper,4,0.42
2024-05-18,Eggs,2,0.25
2025-01-23,Beer,4,0.8
2024-01-20,Olive Oil,3,6.83
2024-01-21,Toilet Paper,8,0.45
2024-09-19,Coffee,4,3.54
2024-01-27,Chicken,6,4.85
2024-11-04,Rice,7,1.32
